n,k,x,y
28,13,-3.1152930753884043,-13.648990770545531
28,14,-2.5717582782094417e-15,-14.0
28,15,3.115293075388399,-13.648990770545531
28,16,6.074372347645811,-12.61356415063387
28,17,8.728857226022267,-10.945640754552418
28,18,10.945640754552416,-8.728857226022273
28,19,12.613564150633866,-6.0743723476458165
28,20,13.64899077054553,-3.115293075388405
28,21,14.0,-3.429011037612589e-15
28,22,13.648990770545534,3.115293075388386
28,23,12.61356415063387,6.07437234764581
28,24,10.94564075455242,8.728857226022267
28,25,8.728857226022273,10.945640754552414
28,26,6.074372347645806,12.613564150633872
28,27,3.1152930753884056,13.64899077054553
29,0,8.878689293818311e-16,14.5
29,1,-3.1170713830598493,14.160998057796256
29,2,-6.088391972623837,13.159843585228877
29,3,-8.775026120309597,11.543349452731833
29,4,-11.051349799350728,9.387101129336504
29,5,-12.810924644467331,6.791922390146958
29,6,-13.971474891528732,3.879160908673702
29,7,-14.478734500841295,0.7850141744885595
29,8,-14.308984576852131,-2.3458389500150845
29,9,-13.470162437343477,-5.367003252428756
29,10,-12.001490473274915,-8.137212447754543
29,11,-9.971642153374644,-10.526934632885393
29,12,-7.4755309290668155,-12.424429054430044
29,13,-4.629872186971708,-13.740970982150635
29,14,-1.5677257671471654,-14.415000378738213
29,15,1.5677257671471472,-14.415000378738215
29,16,4.629872186971703,-13.740970982150637
29,17,7.475530929066822,-12.42442905443004
29,18,9.971642153374635,-10.5269346328854
29,19,12.001490473274911,-8.137212447754548
29,20,13.470162437343475,-5.36700325242876
29,21,14.30898457685213,-2.34583895001509
29,22,14.478734500841297,0.7850141744885413
29,23,13.971474891528736,3.8791609086736907
29,24,12.810924644467331,6.791922390146959
29,25,11.051349799350728,9.387101129336504
29,26,8.77502612030959,11.543349452731837
29,27,6.0883919726238425,13.159843585228876
29,28,3.1170713830598547,14.160998057796254
30,0,9.18485099360515e-16,15.0
30,1,-3.1186753622663903,14.672214011007085
30,2,-6.1010496461370005,13.703181864639015
30,3,-8.816778784387095,12.135254915624213
