n,k,x,y
34,31,8.949346768915055,14.453691307403435
34,32,6.1411083251816025,15.852027899874047
34,33,3.123741802881692,16.71054269462633
35,0,1.0715659492539341e-15,17.5
35,1,-3.1247456589761398,17.21876780047602
35,2,-6.149059421423496,16.3841102361954
35,3,-8.975737354603355,15.022853888032659
35,4,-11.51392770394497,13.178750655063192
35,5,-13.682050943190522,10.911071532527838
35,6,-15.410421807492915,8.292701593277478
35,7,-16.643489035165185,5.407797401561582
35,8,-17.341620830938858,2.349082151808973
35,9,-17.482378664473007,-0.785134531134009
35,10,-17.061238463181912,-3.8941163442355
35,11,-16.091736019650387,-6.877938053943661
35,12,-14.605031940122798,-9.640697175411793
35,13,-12.648910116979355,-12.09359635727013
35,14,-10.286241915118282,-14.157797401561579
35,15,-7.59296543455727,-15.766955188292332
35,16,-4.655644797416818,-16.869350062177432
35,17,-1.5686879058100893,-17.429550144916682
35,18,1.568687905810083,-17.429550144916682
35,19,4.6556447974168105,-16.869350062177432
35,20,7.592965434557264,-15.766955188292338
35,21,10.286241915118277,-14.157797401561583
35,22,12.648910116979348,-12.093596357270135
35,23,14.605031940122794,-9.640697175411798
35,24,16.091736019650384,-6.877938053943667
35,25,17.061238463181912,-3.8941163442355062
35,26,17.482378664473007,-0.7851345311340154
35,27,17.341620830938858,2.349082151808967
35,28,16.64348903516519,5.4077974015615755
35,29,15.410421807492916,8.292701593277473
35,30,13.682050943190525,10.911071532527835
35,31,11.513927703944974,13.178750655063189
35,32,8.97573735460336,15.022853888032655
35,33,6.149059421423502,16.3841102361954
35,34,3.124745658976147,17.218767800476016
36,0,1.102182119232618e-15,18.0
36,1,-3.1256671980047455,17.726539554219745
36,2,-6.156362579862037,16.914467174146353
36,3,-8.999999999999996,15.588457268119896
36,4,-11.57017697435771,13.788799976141604
36,5,-13.788799976141602,11.570176974357711
36,6,-15.588457268119893,9.000000000000005
36,7,-16.91446717414635,6.15636257986204
36,8,-17.726539554219745,3.125667198004745
36,9,-18.0,2.204364238465236e-15
36,10,-17.726539554219748,-3.1256671980047406
