n,radius,central_angle_rad,central_angle_deg,side_chord,circumscribed_side,apothem,spoke_base_angle_deg,diag2,diag2_over_side,apothem_over_radius,vertices_shared_with_smaller_dgon,smallest_proper_divisor_gon,n_is_prime_like,euler_totient,predicted_shared_from_totient
54,27.0,0.11635528346628864,6.666666666666667,3.1398207611656948,3.1451418433791036,26.954320273324242,86.66666666666667,6.269017362762432,1.9966163165425364,0.9983081582712683,35,2,0,18,35
55,27.5,0.11423973285781065,6.545454545454545,3.1398845974522387,3.1450137880914864,27.45515035796873,86.72727272727272,6.269527543979734,1.9967382078522715,0.9983691039261356,14,5,0,40,14
56,28.0,0.1121997376282069,6.428571428571429,3.13994504528274,3.1448925430019714,27.955950820498863,86.78571428571429,6.27001066178524,1.996853630035633,0.9984268150178165,31,2,0,24,31
57,28.5,0.11023132117858923,6.315789473684211,3.14000234028433,3.144777633441586,28.45672321834951,86.84210526315789,6.2704685966625195,1.9969630328666326,0.9984815164333161,20,3,0,36,20
58,29.0,0.10833078115826873,6.206896551724138,3.1400566979542166,3.144668625403038,28.95746900168259,86.89655172413794,6.2709030685886225,1.9970668277022476,0.9985334138511238,29,2,0,28,29
59,29.5,0.10649466622338281,6.101694915254237,3.1401083156885403,3.1445651214298462,29.458189522464476,86.94915254237289,6.271315653194559,1.997165391353524,0.9985826956767619,0,59,1,58,0
60,30.0,0.10471975511965977,6.0,3.1401573745766296,3.144466756982472,29.958886042637214,87.0,6.271707796059207,1.9972590695091477,0.9986295347545738,43,2,0,16,43
61,30.5,0.10300303782261616,5.9016393442622945,3.1402040409911383,3.144373197219199,30.459559741487332,87.04918032786885,6.272080825378985,1.9973481797696613,0.9986740898848305,0,61,1,60,0
62,31.0,0.10134169850289655,5.806451612903226,3.140248468000188,3.1442841341385273,30.960211722302635,87.09677419354838,6.272435963220794,1.9974330143421055,0.9987165071710528,31,2,0,30,31
63,31.5,0.09973310011396169,5.714285714285714,3.1402907966239213,3.144199284037388,31.460843018396055,87.14285714285714,6.272774335536449,1.9975138424378447,0.9987569212189223,26,3,0,36,26
64,32.0,0.09817477042468103,5.625,3.140331156954753,3.1441183852459043,31.961454598565517,87.1875,6.273096981091879,1.9975909124103448,0.9987954562051724,31,2,0,32,31
65,32.5,0.0966643893412244,5.538461538461538,3.140369669157959,3.1440411961048302,32.46204737205061,87.23076923076924,6.273404859443482,1.9976644536646533,0.9988322268323265,16,5,0,48,16
66,33.0,0.09519977738150888,5.454545454545454,3.1404064443669912,3.1439674931563864,32.962622193039266,87.27272727272727,6.273698858076055,1.997734678366016,0.9988673391830081,45,2,0,20,45
67,33.5,0.09377888518178487,5.373134328358209,3.140441585485984,3.1438970695231436,33.463179864771334,87.3134328358209,6.273979798801501,1.9978017829714227,0.9989008914857115,0,67,1,66,0
68,34.0,0.09239978392911156,5.294117647058823,3.140475187910292,3.1438297334529373,33.963721143280665,87.35294117647058,6.274248443504535,1.9978659496047448,0.9989329748023725,35,2,0,32,35
69,34.5,0.0910606566257911,5.217391304347826,3.140507340174488,3.143765307010647,34.4642467408121,87.39130434782608,6.274505499310439,1.997927347293455,0.9989636736467276,24,3,0,44,24
70,35.0,0.08975979010256552,5.142857142857143,3.140538124536045,3.143703624900147,34.964757328946014,87.42857142857143,6.274751623240345,1.9979861330826292,0.9989930665413147,45,2,0,24,45
71,35.5,0.08849556770675474,5.070422535211268,3.140567617501899,3.1436445334018224,35.46525354145906,87.46478873239435,6.274987426411316,1.9980424530399472,0.9990212265199736,0,71,1,70,0
72,36.0,0.08726646259971647,5.0,3.140595890304192,3.1435878894128684,35.96573597694688,87.5,6.275213477831388,1.9980964431637154,0.9990482215818578,47,2,0,24,47
73,36.5,0.08607103160519981,4.931506849315069,3.1406230093307244,3.143533559579172,36.466205201231396,87.53424657534246,6.2754303078335925,1.9981482302044602,0.99907411510223,0,73,1,72,0
74,37.0,0.08490790955648089,4.864864864864865,3.1406490365149744,3.143481419508908,36.96666174957322,87.56756756756756,6.27563841118768,1.998197932409363,0.9990989662046816,37,2,0,36,37
75,37.5,0.08377580409572781,4.8,3.1406740296899716,3.1434313530591806,37.46710612870719,87.6,6.275838249923662,1.998245660197717,0.9991228300988583,34,3,0,40,34
76,38.0,0.08267349088394192,4.7368421052631575,3.1406980429098037,3.1433832516880567,37.967538818717436,87.63157894736842,6.276030255897257,1.9982915167746023,0.9991457583873009,39,2,0,36,39
77,38.5,0.08159980918415047,4.675324675324675,3.140721126742089,3.143337013865224,38.46796027476644,87.66233766233766,6.276214833123864,1.9983355986891658,0.9991677993445829,16,7,0,60,16
78,39.0,0.08055365778435367,4.615384615384615,3.1407433285343807,3.143292544535291,38.968370928691215,87.6923076923077,6.2763923599046185,1.9983779963431396,0.9991889981715696,53,2,0,24,53
79,39.5,0.07953399123012135,4.556962025316456,3.140764692657125,3.1432497546284166,39.46877119047842,87.72151898734178,6.276563190765436,1.998418794454604,0.9992093972273018,0,79,1,78,0
80,40.0,0.07853981633974483,4.5,3.140785260725489,3.143208560613571,39.96916144962891,87.75,6.276727658227595,1.9984580724814456,0.9992290362407228,47,2,0,32,47
81,40.5,0.07757018897752575,4.444444444444445,3.1408050718021534,3.1431688840902154,40.46954207642132,87.77777777777777,6.276886074426406,1.99849590500846,0.9992479525042302,26,3,0,54,26
82,41.0,0.07662421106316569,4.390243902439025,3.140824162582899,3.143130651414687,40.96991342308321,87.80487804878048,6.2770387325926436,1.99853236210162,0.9992661810508101,41,2,0,40,41
83,41.5,0.07570102779734442,4.337349397590362,3.1408425675666343,3.1430937933579455,41.47027582487775,87.83132530120481,6.277185908409906,1.9985675096326625,0.9992837548163314,0,83,1,82,0
84,42.0,0.07479982508547127,4.285714285714286,3.1408603192113524,3.1430582447917197,41.970629601112734,87.85714285714286,6.2773278612596375,1.998601409576797,0.9993007047883984,59,2,0,24,59
85,42.5,0.07391982714328925,4.235294117647059,3.1408774480773154,3.1430239444003805,42.47097505607847,87.88235294117648,6.277464835364286,1.998634120286046,0.9993170601430229,20,5,0,64,20
86,43.0,0.07306029426953008,4.186046511627907,3.14089398295866,3.142990834416163,42.97131247992029,87.90697674418605,6.277597060838048,1.9986656967404788,0.9993328483702394,43,2,0,42,43
87,43.5,0.07222052077217915,4.137931034482759,3.1409099510044682,3.142958860375603,43.47164214945095,87.93103448275862,6.277724754653598,1.9986961907793541,0.9993480953896771,30,3,0,56,30
88,44.0,0.07139983303613166,4.090909090909091,3.14092537783028,3.1429279708952578,43.97196432890763,87.95454545454545,6.277848121532446,1.9987256513139833,0.9993628256569916,47,2,0,40,47
89,44.5,0.07059758772111895,4.044943820224719,3.14094028762087,3.142898117464996,44.47227927065803,87.97752808988764,6.277967354765675,1.9987541245239562,0.9993770622619782,0,89,1,88,0
90,45.0,0.06981317007977318,4.0,3.1409547032250873,3.142869254257296,44.972587215859306,88.0,6.278082636971277,1.9987816540381915,0.9993908270190957,65,2,0,24,65
91,45.5,0.06904599238658886,3.9560439560439558,3.1409686462434396,3.1428413379511437,45.4728883950737,88.02197802197801,6.278194140793568,1.9988082811021408,0.9994041405510704,18,7,0,72,18
92,46.0,0.06829549246934333,3.9130434782608696,3.1409821371090465,3.1428143275692872,45.973183028844005,88.04347826086956,6.27830202954973,1.998834044732348,0.999417022366174,47,2,0,44,47
93,46.5,0.06756113233526437,3.870967741935484,3.1409951951625388,3.142788184327673,46.47347132823189,88.06451612903226,6.278406457827973,1.9988589818594362,0.999429490929718,32,3,0,60,32
