m,j,gap,side,k_snap,r_out,r_in,gm,am,tension,hx,hy,atan2,Px,Py,leg_chord,leg_path,leg_chord_over_path,k_frozen
55,86394,1570,down,55.0,27.5,0.03636363636363636,1.0,13.768181818181818,12.768181818181818,-0.9999999849195194,-0.00017366911341967607,-3.1414189844755005,-27.499999585286783,-0.004775900619041092,54.49998263027763,85.56496002729307,0.6369427697143025,54.99299809038829
56,87965,1571,up,56.0,28.0,0.03571428571428571,1.0,14.017857142857142,13.017857142857142,0.9999998336357715,0.0005768261692333104,0.0005768262012210594,27.9999953418016,0.016151132738532692,55.49999887250054,87.19143762941002,0.6365303793750061,55.99299809038829
57,89536,1571,down,57.0,28.5,0.03508771929824561,1.0,14.267543859649123,13.267543859649123,-0.9999995198164158,-0.0009799831312906182,-3.1406126703016453,-28.49998631476785,-0.027929519241782618,56.49999885218196,88.76190772353432,0.6365343005939197,56.99299809038829
58,91107,1571,up,58.0,29.0,0.034482758620689655,1.0,14.517241379310345,13.517241379310345,0.9999990434615039,0.0013831399340658872,0.00138314037507492,28.999972260383615,0.040111058087910725,57.49999883186345,90.33288381620176,0.6365345199081364,57.99299809038829
59,92678,1571,down,59.0,29.5,0.03389830508474576,1.0,14.766949152542374,13.766949152542374,-0.9999984045711129,-0.0017862965120315642,-3.1398063561277914,-29.49995293484783,-0.05269574710493114,58.499998811544984,91.90386016015775,0.6365347299841271,58.99299809038829
60,94248,1570,up,60.0,30.0,0.03333333333333333,1.0,15.016666666666667,14.016666666666667,0.9999999820529818,0.00018945721445493422,0.00018945721558833158,29.999999461589454,0.0056837164336480265,59.499981036468114,93.41483740999706,0.6369435807646179,59.99236155315086
61,95819,1571,down,61.0,30.5,0.03278688524590164,1.0,15.26639344262295,14.26639344262295,-0.9999998244041494,-0.0005926142678304182,-3.141000039287276,-30.499994644326556,-0.018074735168827755,60.499998770908206,95.04631875800854,0.6365317411707807,60.99236155315086
62,97390,1571,up,62.0,31.0,0.03225806451612903,1.0,15.516129032258064,14.516129032258064,0.9999995042197108,0.0009957712248853078,0.000995771389446589,30.999984630811035,0.03086890797144454,61.49999875058988,96.61679329609126,0.6365352921838064,61.99236155315086
63,98961,1571,down,63.0,31.5,0.031746031746031744,1.0,15.765873015873016,14.765873015873016,-0.9999990214997186,-0.0013989280200901455,-3.140193725113419,-31.499969177241137,-0.04406623263283958,62.49999873027161,98.1877731063473,0.6365354539875121,62.99236155315086
64,100532,1571,up,64.0,32.0,0.03125,1.0,16.015625,15.015625,0.9999983762442507,0.0018020845879193979,0.0018020855633017682,31.999948039816022,0.05766670681342073,63.49999870995338,99.75875305664586,0.6365356098015407,63.99236155315086
65,102102,1570,down,65.0,32.5,0.03076923076923077,1.0,16.265384615384615,15.265384615384615,-0.99999997893718,-0.00020524531544799293,-3.1413874082729043,-32.499999315458346,-0.00667047275205977,64.49997944267766,101.26473380428071,0.6369441464917087,64.99172501591343
66,103673,1571,up,66.0,33.0,0.030303030303030304,1.0,16.515151515151516,15.515151515151516,0.9999998149232632,0.0006084023662836526,0.0006084024038173636,32.999993892467685,0.020077278087360536,65.49999866931701,102.90121803606807,0.6365327827932853,65.99172501591343
67,105244,1571,down,67.0,33.5,0.029850746268656716,1.0,16.76492537313433,15.764925373134329,-0.9999994883737421,-0.0010115593182330824,-3.140581094099047,-33.49998286052036,-0.03388723716080826,66.49999864899891,104.47169607659889,0.6365360298184588,66.99172501591343
68,106815,1571,up,68.0,34.0,0.029411764705882353,1.0,17.014705882352942,16.014705882352942,0.9999989992886692,0.0014147161057670448,0.0014147165776747126,33.99996597581475,0.04810034759607952,67.49999862868081,106.0426787987865,0.6365361512298315,67.99172501591343
69,108386,1571,down,69.0,34.5,0.028985507246376812,1.0,17.264492753623188,16.264492753623188,-0.9999983476681249,-0.001817872663360079,-3.1397747799251894,-34.49994299455031,-0.06271660688592273,68.49999860836276,107.61366158945665,0.6365362686913162,68.99172501591343
70,109956,1570,up,70.0,35.0,0.02857142857142857,1.0,17.514285714285716,16.514285714285716,0.9999999755721141,0.00022103341639207702,0.00022103341819187009,34.99999914502399,0.007736169573722695,69.49997784890213,109.1146451066463,0.6369445437958796,69.991088478676
71,111527,1571,down,71.0,35.5,0.028169014084507043,1.0,17.764084507042252,16.764084507042252,-0.999999805193113,-0.0006241904645889917,-3.140968463084672,-35.499993084355516,-0.022158761492909206,70.49999856772675,110.75613160172746,0.6365335945574607,70.991088478676
72,113098,1571,up,72.0,36.0,0.027777777777777776,1.0,18.01388888888889,17.01388888888889,0.9999994722785089,0.0010273474113316695,0.001027347592049477,35.999981002026324,0.036984506807940104,71.4999985474088,112.32661245479767,0.636536587232894,71.991088478676
73,114669,1571,down,73.0,36.5,0.0273972602739726,1.0,18.263698630136986,17.263698630136986,-0.9999989768283561,-0.001430504191093906,-3.1401621489108154,-36.499962654235,-0.052213402974927575,72.49999852709085,113.8975974997437,0.6365366796016395,72.991088478676
74,116240,1571,up,74.0,37.0,0.02702702702702703,1.0,18.513513513513512,17.513513513513512,0.9999983188427352,0.0018336607383485405,0.0018336617659065887,36.999937797181204,0.067845447318896,73.49999850677295,115.46858256732223,0.636536769332211,73.991088478676
75,117810,1570,down,75.0,37.5,0.02666666666666667,1.0,18.763333333333332,17.763333333333332,-0.999999971957784,-0.00023682151727909235,-3.1413558320703006,-37.4999989484169,-0.008880806897965964,74.49997625513853,116.96456831528795,0.6369448229340487,74.99045194143858
76,119381,1571,up,76.0,38.0,0.02631578947368421,1.0,19.013157894736842,18.013157894736842,0.9999997952136986,0.0006399785627346123,0.0006399786064208968,37.999992218120546,0.024319185383915268,75.49999846613721,118.61105661621369,0.6365342373639782,75.99045194143858
77,120952,1571,down,77.0,38.5,0.025974025974025976,1.0,19.26298701298701,18.26298701298701,-0.9999994559340121,-0.0010431355041707266,-3.1405495178964444,-38.49997905345946,-0.04016071691057298,76.49999844581937,120.18153976434456,0.6365370138860159,76.99045194143858
78,122523,1571,up,78.0,39.0,0.02564102564102564,1.0,19.512820512820515,18.512820512820515,0.9999989541187791,0.0014462922760588382,0.0014462927802756929,38.99995921063239,0.05640539876629469,77.49999842550157,121.75252669131221,0.636537084950958,77.99045194143858
79,124094,1571,down,79.0,39.5,0.02531645569620253,1.0,19.7626582278481,18.7626582278481,-0.9999982897680818,-0.0018494488128746177,-3.139743203722589,-39.49993244583923,-0.0730532281085474,78.49999840518377,123.32351361208805,0.6365371542373026,78.99045194143858
