m,j,gap,side,k_snap,r_out,r_in,gm,am,tension,hx,hy,atan2,Px,Py,leg_chord,leg_path,leg_chord_over_path,k_frozen
80,125664,1570,up,80.0,40.0,0.025,1.0,20.0125,19.0125,0.9999999680941899,0.00025260961810684435,0.0002526096207934159,39.9999987237676,0.010104384724273774,79.49997466138461,124.81450118362059,0.6369450176660835,79.98981540420115
81,127235,1571,down,81.0,40.5,0.024691358024691357,1.0,20.262345679012345,19.262345679012345,-0.9999997849850203,-0.0006557666607220602,-3.1409368868820713,-40.49999129189332,-0.026558549759243436,80.49999836454826,126.46599094608551,0.6365347534331717,80.98981540420115
82,128806,1571,up,82.0,41.0,0.024390243902439025,1.0,20.51219512195122,19.51219512195122,0.9999994393402509,0.001058923596752904,0.0010589237946515612,40.99997701295029,0.04341586746686907,81.49999834423052,128.0364759932495,0.6365373438466665,81.98981540420115
83,130377,1571,down,83.0,41.5,0.024096385542168676,1.0,20.762048192771083,19.762048192771083,-0.9999989311599382,-0.0014620803606643878,-3.1401305727082187,-41.49995564313743,-0.0606763349675721,82.49999832391282,129.60746446602113,0.6365373990133234,82.98981540420115
84,131948,1571,up,84.0,42.0,0.023809523809523808,1.0,21.011904761904763,20.011904761904763,0.9999982604441647,0.0018652368869416735,0.001865237968503663,41.999926938654916,0.07833994925155029,83.49999830359512,131.17845291524864,0.6365374529728791,83.98981540420115
85,133518,1570,down,85.0,42.5,0.023529411764705882,1.0,21.261764705882353,20.261764705882353,-0.9999999639813316,-0.00026839771887025306,-3.1413242558677004,-42.499998469206595,-0.011406903051985755,84.49997306763865,132.6644419968245,0.6369451512083492,84.98917886696371
86,135089,1571,up,86.0,43.0,0.023255813953488372,1.0,21.511627906976745,20.511627906976745,0.9999997745070777,0.0006715547585433367,0.0006715548090202897,42.99999030380434,0.02887685461736348,85.49999826295979,134.3209329569837,0.6365351727443791,85.98917886696371
87,136660,1571,down,87.0,43.5,0.022988505747126436,1.0,21.761494252873565,20.761494252873565,-0.9999994224972258,-0.001074711689064627,-3.1405179416938456,-43.499974878629324,-0.04674995847431128,86.49999824264215,135.89141959474426,0.6365376011274492,86.98917886696371
88,138231,1571,up,88.0,44.0,0.022727272727272728,1.0,22.011363636363637,21.011363636363637,0.9999989079518335,0.0014778684449068486,0.0014778689828749253,43.999951949880675,0.06502621157590134,87.49999822232452,137.4624093524159,0.636537644251517,87.98917886696371
89,139802,1571,down,89.0,44.5,0.02247191011235955,1.0,22.26123595505618,21.26123595505618,-0.999998230870984,-0.0018810249605441518,-3.13971162751999,-44.49992127375879,-0.08370561074421476,88.49999820200692,139.03339907702042,0.636537686552427,88.98917886696371
90,141372,1570,up,90.0,45.0,0.022222222222222223,1.0,22.511111111111113,21.511111111111113,0.9999999596192092,0.0002841858195677827,0.00028418582339299875,44.99999818286441,0.012788361880550221,89.49997147389931,140.51438942330142,0.6369452398521228,89.98854232972629
91,142943,1571,down,91.0,45.5,0.02197802197802198,1.0,22.76098901098901,21.76098901098901,-0.9999997637798711,-0.000687342856199951,-3.140905310679472,-45.49998925198413,-0.03127409995709777,90.49999816137174,142.17588137575225,0.6365355170346515,90.98854232972629
92,144514,1571,up,92.0,46.0,0.021739130434782608,1.0,23.01086956521739,22.01086956521739,0.9999994054049369,0.0010904997811143446,0.001090499997249658,45.9999726486271,0.05016298993125985,91.49999814105416,143.74636936016765,0.6365378029951757,91.98854232972629
93,146085,1571,down,93.0,46.5,0.021505376344086023,1.0,23.260752688172044,22.260752688172044,-0.9999988844944648,-0.0014936565287808072,-3.140098996505618,-46.499948128992614,-0.06945502858830753,92.4999981207366,145.31736019720742,0.6365378368778969,92.98854232972629
94,147656,1571,up,94.0,47.0,0.02127659574468085,1.0,23.51063829787234,22.51063829787234,0.9999982010485394,0.0018968130336796305,0.0018968141711053082,46.99991544928135,0.08915021258294263,93.49999810041906,146.88835099705196,0.6365378701970424,93.98854232972629
